id,name_de,name,name_de_html,category,co2_for_16fu_without_air,co2_for_100g_without_air,co2_base,sum_transport_for_16fu,land_transport,sea_transport,air_transport,food_unit,energy_in_kcal,kcal_for_16fu,weight_for_16fu,co2_for_100kcal_without_air
ananassaft,Ananassaft,Pineapple juice,Ananassaft,beverages,911,56.95,15.0,671,20.2,21.71,0.0,0.1,47.05,753,1600,120.98273572377158
apfelsaft,Apfelsaft,Apple juice,Apfelsaft,beverages,621,34.95,33.0,35,2.0,0.0,0.0,0.09,45.14,802,1778,77.43142144638404
bier,Bier,Beer,Bier,starches & bread,770,43.32,40.0,59,3.3,0.0,0.0,0.09,39.41,701,1778,109.84308131241085
birnensaft,Birnensaft,Pear juice,Birnensaft,beverages,734,50.47,39.0,167,11.5,0.0,0.0,0.11,47.54,691,1455,106.22286541244571
buttermilch,Buttermilch,Buttermilk,Buttermilch,dairy & eggs,1467,119.19,117.0,27,2.2,0.0,0.0,0.13,33.68,415,1231,353.49397590361446
champagner,Champagner,Champagne,Champagner,beverages,2145,147.44,137.0,152,9.3,1.1,0.0,0.11,69.98,1018,1455,210.7072691552063
cognac,Cognac,Cognac,Cognac,beverages,1859,290.44,280.0,67,9.3,1.1,0.0,0.25,237.41,1519,640,122.38314680710994
fruchtsaft,Fruchtsaft,Fruit juice,Fruchtsaft,beverages,629,43.23,35.0,120,7.8,0.44,0.0,0.11,56.13,816,1455,77.08333333333333
grapefruitsaft,Grapefruitsaft,Grapefruit juice,Grapefruitsaft,beverages,621,46.56,32.0,194,6.8,7.72,0.0,0.12,25.08,334,1333,185.92814371257484
gruentee,Grüntee,Green tea,Grüntee,beverages,1707,714.69,668.6,110,45.7,0.39,0.0,0.67,229.53,548,239,311.4963503649635
haferdrink,Haferdrink,Oat drink,Haferdrink,starches & bread,357,24.56,11.0,197,13.6,0.0,0.0,0.11,56.61,823,1455,43.377885783718106
huehnerbruehe,Hühnerbrühe,Chicken broth,Hühnerbrühe,beverages,557,219.37,181.0,97,24.8,13.58,0.0,0.63,194.66,494,254,112.75303643724696
kaffee,Kaffee,Coffee (brewed),Kaffee,beverages,868,21.7,14.35,294,5.3,2.02,0.0,0.04,4.0,160,4000,542.5
kaffeebohnen,Kaffeebohnen,Coffee beans,Kaffeebohnen,beverages,2122,1100.71,1043.0,111,48.6,9.07,0.0,0.83,396.48,764,193,277.74869109947645
mandarinensaft,Mandarinensaft,Tangerine juice,Mandarinensaft,beverages,435,27.18,19.0,131,8.2,0.0,0.0,0.1,50.4,806,1600,53.97022332506204
mangosaft,Mangosaft,Mango Juice,Mangosaft,beverages,2230,119.84,99.0,388,10.8,10.08,604.74,0.086,42.0,781,1860,285.5313700384123
milch_(mager),Milch (mager),"Milk (lean, up to 0.5%)",Milch (mager),dairy & eggs,1285,144.58,141.0,32,3.6,0.0,0.0,0.18,57.0,507,889,253.4516765285996
milch_(teilentrahmt),Fettarme Milch,"Milk (uht, partially skimmed, up to 2.5%)",Fettarme Milch,dairy & eggs,1602,180.19,177.0,28,3.2,0.0,0.0,0.18,57.32,510,889,314.11764705882354
mineralwasser_(mit_kohlensaeure),Mineralwasser (mit Kohlensäure),Sparkling water,Mineralwasser (mit Kohlensäure),beverages,1596,39.9,31.9,320,8.0,0.0,0.0,0.04,0.0,0,4000,inf
mineralwasser_(ohne_kohlensaeure),Mineralwasser (ohne Kohlensäure),Mineral water (non-carbonated),Mineralwasser (ohne Kohlensäure),beverages,1136,28.4,20.4,320,8.0,0.0,0.0,0.04,0.0,0,4000,inf
orangensaft,Orangensaft,Orange juice,Orangensaft,beverages,2248,154.58,127.1,400,17.9,9.58,0.0,0.11,51.59,750,1455,299.7333333333333
pfirsichsaft,Pfirsichsaft,Peach juice,Pfirsichsaft,beverages,2748,154.58,127.1,489,17.9,9.58,0.0,0.09,48.25,858,1778,320.27972027972027
portwein,Portwein,Port wine,Portwein,beverages,2582,290.44,280.0,93,9.3,1.1,0.0,0.18,152.14,1352,889,190.97633136094677
rote_beete_saft,Rote Beete Saft,Beetroot juice,Rote Beete Saft,beverages,868,59.7,57.0,39,2.7,0.0,0.0,0.11,26.52,386,1455,224.87046632124355
reisdrink,Reisdrink,Rice drink,Reisdrink,beverages,878,60.36,36.0,354,8.2,16.15,0.0,0.11,56.61,823,1455,106.68286755771568
rinderbruehe,Rinderbrühe,Beef broth,Rinderbrühe,beverages,1791,705.37,667.0,97,24.8,13.58,0.0,0.63,194.66,494,254,362.5506072874494
schwarztee,Schwarztee,Black tea,Schwarztee,beverages,1707,714.69,668.6,110,45.7,0.39,0.0,0.67,229.53,548,239,311.4963503649635
sojamilch,Sojamilch,Soy milk,Sojamilch,legumes,644,60.37,22.0,409,24.8,13.58,0.0,0.15,39.65,423,1067,152.24586288416074
spirituosen,Spirituosen,Spirituous beverages,Spirituosen,beverages,2789,418.37,380.0,256,24.8,13.58,0.0,0.24,218.78,1459,667,191.15832762165863
tomatensaft,Tomatensaft,Tomato juice,Tomatensaft,beverages,924,40.42,33.0,170,7.4,0.0,0.0,0.07,15.52,355,2286,260.28169014084506
traubensaft,Traubensaft,Grape juice,Traubensaft,beverages,1774,121.99,116.0,87,6.0,0.0,0.0,0.11,60.07,874,1455,202.97482837528605
vollmilch,Vollmilch,"Milk (uht, full cream, 3.5%)",Vollmilch,dairy & eggs,1554,194.19,191.0,26,3.2,0.0,0.0,0.2,68.31,546,800,284.61538461538464
wasser,Wasser,Water,Wasser,beverages,2,0.04,0.04,0,0.0,0.0,0.0,0.04,0.0,0,4000,inf
wein,Wein,Wine,Wein,beverages,2359,147.44,137.0,167,9.3,1.1,0.0,0.1,68.55,1097,1600,215.04102096627165
weisser_tee,Weißer Tee,White tea,Weißer Tee,beverages,1707,714.69,668.6,110,45.7,0.39,0.0,0.67,229.53,548,239,311.4963503649635
butter,Butter,Butter,Butter,dairy & eggs,1384,1211.19,1209.0,3,2.2,0.0,0.0,1.4,730.87,835,114,165.74850299401197
cheddar,Cheddar,Cheddar,Cheddar,dairy & eggs,1322,941.69,938.0,5,3.7,0.0,0.0,1.14,406.04,570,140,231.9298245614035
creme_fraiche,Crème Fraiche,Creme fraiche cheese,Crème Fraiche,dairy & eggs,806,342.47,340.0,6,2.5,0.0,0.0,0.68,329.61,776,235,103.8659793814433
doppelrahm,Doppelrahm,"Cream (double cream, 45% fat)",Doppelrahm,dairy & eggs,1374,721.47,719.0,5,2.5,0.0,0.0,0.84,417.98,796,190,172.61306532663318
eier,Eier,Eggs (free range),Eier,dairy & eggs,750,220.26,216.0,15,4.3,0.0,0.0,0.47,141.0,480,340,156.25
eigelb,Eigelb,Egg yolk,Eigelb,dairy & eggs,477,271.26,267.0,7,4.3,0.0,0.0,0.91,346.33,609,176,78.32512315270937
eiweiss,Eiweiß,Egg white,Eiweiß,dairy & eggs,1607,271.26,267.0,25,4.3,0.0,0.0,0.27,44.66,265,593,606.4150943396227
emmentaler,Emmentaler,Emmentaler,Emmen&shy;taler,dairy & eggs,1274,955.69,952.0,5,3.7,0.0,0.0,1.2,406.04,541,133,235.4898336414048
frischkaese,Frischkäse,"Cheese (fresh, 0 - 15%)",Frischkäse,dairy & eggs,684,324.69,321.0,8,3.7,0.0,0.0,0.76,334.38,704,211,97.1590909090909
grana_padano,Grana padano,Grana padano,Grana padano,dairy & eggs,1215,941.69,938.0,5,3.7,0.0,0.0,1.24,372.6,481,129,252.5987525987526
gruyere,Gruyère,Gruyere,Gruyère,dairy & eggs,1291,927.69,924.0,5,3.7,0.0,0.0,1.15,394.1,548,139,235.5839416058394
hafersahne,Hafersahne,Oats cream,Hafersahne,starches & bread,127,24.56,11.0,70,13.6,0.0,0.0,0.31,146.65,757,516,16.77675033025099
joghurt_(natur),Joghurt (natur),Natural yoghurt,Joghurt (natur),dairy & eggs,3155,374.69,371.0,31,3.7,0.0,0.0,0.19,48.01,404,842,780.940594059406
kaffeesahne,Kaffeesahne,Coffee creamer,Kaffeesahne,dairy & eggs,10,2.2,,10,2.2,0.0,0.0,0.36,159.07,707,444,1.4144271570014144
kaese_(halbhart),Schnittkäse,"Cheese (semi-hard, 25 - 30%)",Schnittkäse,dairy & eggs,2196,864.69,861.0,9,3.7,0.0,0.0,0.63,225.23,572,254,383.9160839160839
kaese_(hart),Käse,"Cheese (hard, more than 30%)",Käse,dairy & eggs,1310,941.69,938.0,5,3.7,0.0,0.0,1.15,396.48,552,139,237.31884057971016
kaese_(weich),Weichkäse,"Cheese (soft, 20 -25%)",Weichkäse,dairy & eggs,1212,666.69,663.0,7,3.7,0.0,0.0,0.88,358.27,651,182,186.17511520737327
kokosmilch,Kokosmilch,Coconut milk,Kokosmilch,nuts & seeds,556,138.92,110.0,116,21.2,7.72,0.0,0.4,185.58,742,400,74.93261455525607
margarine,Margarine,Margarine,Margarine,dairy & eggs,157,134.68,132.0,3,2.7,0.0,0.0,1.37,711.76,831,117,18.892900120336943
mascarpone,Mascarpone,Mascarpone,Mascarpone,dairy & eggs,1017,616.69,613.0,6,3.7,0.0,0.0,0.97,446.64,737,165,137.99185888738128
milchpulver,Milchpulver,Milk powder,Milchpulver,dairy & eggs,303,220.01,218.0,3,2.0,0.0,0.0,1.16,480.08,662,138,45.77039274924472
molke,Molke,Whey,Molke,dairy & eggs,134,6.69,3.0,74,3.7,0.0,0.0,0.08,24.12,482,2000,27.800829875518676
molkepulver,Molkepulver,Whey powder,Molkepulver,dairy & eggs,641,256.29,253.0,8,3.3,0.0,0.0,0.64,374.75,937,250,68.40981856990395
mozzarella,Mozzarella,Mozzarella (from cow's milk),Mozzarella,dairy & eggs,1420,674.69,671.0,8,3.7,0.0,0.0,0.76,250.79,528,211,268.93939393939394
paneer,Paneer,Paneer,Paneer,dairy & eggs,1647,864.69,861.0,7,3.7,0.0,0.0,0.84,285.9,545,190,302.20183486238534
parmesan,Parmesan,Parmesan,Parmesan,dairy & eggs,1215,941.69,938.0,5,3.7,0.0,0.0,1.24,372.6,481,129,252.5987525987526
quark,Quark,Curd,Quark,dairy & eggs,1620,293.69,290.0,20,3.7,0.0,0.0,0.29,62.58,345,552,469.5652173913044
raclette,Raclette,Raclette,Raclette,dairy & eggs,1408,941.69,938.0,6,3.7,0.0,0.0,1.07,355.88,532,150,264.6616541353383
sahne_(halbfett),Sahne (halbfett),"Cream (half-fat, 25% fat)",Sahne (halbfett),dairy & eggs,1310,458.47,456.0,7,2.5,0.0,0.0,0.56,269.9,771,286,169.90920881971465
sahne_(vollfett),Sahne,"Cream (full fat, 35% fat)",Sahne,dairy & eggs,1408,589.47,587.0,6,2.5,0.0,0.0,0.67,327.22,781,239,180.28169014084503
ricotta,Ricotta,Ricotta,Ricotta,dairy & eggs,220,64.69,61.0,13,3.7,0.0,0.0,0.47,154.0,524,340,41.98473282442748
sahne-pulver,Sahne-Pulver,Cream powder,Sahne-Pulver,dairy & eggs,2729,1534.95,1533.0,3,2.0,0.0,0.0,0.9,559.85,995,178,274.2713567839196
sauermilch,Sauermilch,Sour milk,Sauermilch,dairy & eggs,1537,278.58,275.0,20,3.6,0.0,0.0,0.29,119.42,659,552,233.2321699544765
schmand,Schmand,Sour cream,Schmand,dairy & eggs,806,342.47,340.0,6,2.5,0.0,0.0,0.68,329.61,776,235,103.8659793814433
seidentofu,Seidentofu,Silken tofu,Seidentofu,legumes,964,120.53,106.0,116,13.3,1.24,0.0,0.2,55.0,440,800,219.0909090909091
tilsiter,Tilsiter,Tilsit cheese,Tilsiter,dairy & eggs,1343,864.69,861.0,6,3.7,0.0,0.0,1.03,351.1,545,155,246.42201834862385
vollei,Vollei,Whole egg,Vollei,dairy & eggs,923,271.26,267.0,15,4.3,0.0,0.0,0.47,140.68,479,340,192.69311064718164
ziegenkaese,Ziegenkäse,Goat cheese,Ziegenkäse,dairy & eggs,756,340.42,333.0,16,7.4,0.0,0.0,0.72,241.23,536,222,141.044776119403
ziegenmilch,Ziegenmilch,Goat milk,Ziegenmilch,dairy & eggs,1049,111.42,104.0,70,7.4,0.0,0.0,0.17,56.61,533,941,196.8105065666041
aal,Aal,Eel,Aal,fish & seafood,676,388.87,335.0,94,27.8,26.06,0.0,0.92,373.08,649,174,104.16024653312788
austern,Austern,Oysters,Austern,fish & seafood,3615,338.87,285.0,575,27.8,26.06,0.0,0.15,9.9,106,1067,3410.377358490566
blaubarsch,Blaubarsch,Bluefish,Blaubarsch,fish & seafood,629,373.37,335.0,65,24.8,13.58,0.0,0.95,353.01,595,168,105.71428571428572
claressefilet,Claressefilet,Claresse filet,Claressefilet,fish & seafood,2631,805.87,752.0,176,27.8,26.06,0.0,0.49,101.75,332,327,792.4698795180723
dorsch,Dorsch,Codfish,Dorsch,fish & seafood,1912,513.87,460.0,200,27.8,26.06,0.0,0.43,76.91,286,372,668.5314685314685
flussbarschfilet,Flussbarschfilet,Perch fillet,Fluss&shy;barsch&shy;filet,fish & seafood,596,163.87,110.0,196,27.8,26.06,0.0,0.44,79.3,288,364,206.94444444444449
felchen,Felchen,Whitefish,Felchen,fish & seafood,535,163.87,110.0,176,27.8,26.06,0.0,0.49,101.75,332,327,161.14457831325302
fisch,Fisch,Fish,Fisch,fish & seafood,1244,388.87,335.0,172,27.8,26.06,0.0,0.5,126.83,406,320,306.4039408866995
flunder,Flunder,Flounder,Flunder,fish & seafood,1555,388.87,335.0,215,27.8,26.06,0.0,0.4,73.09,292,400,532.5342465753424
garnelen,Garnelen,Shrimp,Garnelen,fish & seafood,5461,1023.87,970.0,287,27.8,26.06,0.0,0.3,56.37,301,533,1814.2857142857144
goldbrasse,Goldbrasse,Bream,Goldbrasse,fish & seafood,1035,413.87,360.0,135,27.8,26.06,0.0,0.64,185.1,463,250,223.54211663066957
heilbutt,Heilbutt,Halibut,Heilbutt,fish & seafood,1152,388.87,335.0,160,27.8,26.06,0.0,0.54,117.99,350,296,329.1428571428572
hering,Hering,Herring,Hering,fish & seafood,670,263.87,210.0,137,27.8,26.06,0.0,0.63,199.68,507,254,132.1499013806706
hummer,Hummer,Lobster,Hummer,fish & seafood,14648,2471.87,2418.0,319,27.8,26.06,0.0,0.27,31.5,187,593,7833.155080213904
kabeljau,Kabeljau,Cod,Kabeljau,fish & seafood,1912,513.87,460.0,200,27.8,26.06,0.0,0.43,76.91,286,372,668.5314685314685
krebse,Krebse,Crayfish,Krebse,fish & seafood,11985,2471.87,2418.0,261,27.8,26.06,0.0,0.33,47.17,229,485,5233.624454148472
lachs,Lachs,Salmon,Lachs,fish & seafood,1757,713.87,660.0,133,27.8,26.06,0.0,0.65,181.52,447,246,393.0648769574944
lachsforelle,Lachsforelle,Salmon trout,Lachs&shy;forelle,fish & seafood,1388,433.87,380.0,172,27.8,26.06,0.0,0.5,126.83,406,320,341.871921182266
makrele,Makrele,Mackerel,Makrele,fish & seafood,385,228.37,190.0,65,24.8,13.58,0.0,0.95,353.01,595,168,64.70588235294117
muscheln,Muscheln,Shellfish,Muscheln,fish & seafood,2169,338.87,285.0,345,27.8,26.06,0.0,0.25,38.37,246,640,881.7073170731708
pangasius,Pangasius,Shark catfish,Pangasius,fish & seafood,8658,1839.87,1786.0,254,27.8,26.06,0.0,0.34,65.68,309,471,2801.9417475728155
sardellen,Sardellen,Anchovies,Sardellen,fish & seafood,1197,388.87,335.0,166,27.8,26.06,0.0,0.52,113.0,348,308,343.9655172413793
schnapper,Schnapper,Lutjanidae,Schnapper,fish & seafood,1004,388.87,335.0,139,27.8,26.06,0.0,0.62,167.43,432,258,232.40740740740745
scholle,Scholle,Plaice,Scholle,fish & seafood,1353,388.87,335.0,187,27.8,26.06,0.0,0.46,85.75,298,348,454.0268456375839
seehecht,Seehecht,Hake,Seehecht,fish & seafood,1518,388.87,335.0,210,27.8,26.06,0.0,0.41,71.65,280,390,542.1428571428571
seelachs,Seelachs,Coalfish,Seelachs,fish & seafood,2055,513.87,460.0,215,27.8,26.06,0.0,0.4,71.18,285,400,721.0526315789474
thunfisch,Thunfisch,Tuna,Thunfisch,fish & seafood,1035,413.87,360.0,135,27.8,26.06,0.0,0.64,149.76,374,250,276.7379679144385
tilapia,Tilapia,Tilapia,Tilapia,fish & seafood,1409,413.87,360.0,183,27.8,26.06,0.0,0.47,101.27,345,340,408.40579710144925
wolfsbarsch,Wolfsbarsch,Sea ,Wolfsbarsch,fish & seafood,1324,413.87,360.0,172,27.8,26.06,0.0,0.5,104.0,333,320,397.5975975975976
zander,Zander,Pike perch,Zander,fish & seafood,528,148.37,110.0,136,24.8,13.58,0.0,0.45,81.69,290,356,182.06896551724137
ananas,Ananas,Pineapple,Ananas,fruits & berries,416,25.97,11.0,240,3.1,11.85,710.99,0.1,52.07,833,1600,49.93997599039616
aepfel,Äpfel,Apple,Äpfel,fruits & berries,323,22.19,20.0,32,2.2,0.0,0.0,0.11,55.45,807,1455,40.02478314745973
aprikosen,Aprikosen,Apricots,Aprikosen,fruits & berries,295,20.3,14.0,92,6.3,0.0,0.0,0.11,48.76,709,1455,41.60789844851904
bananen,Bananen,Bananas,Bananen,fruits & berries,409,40.91,17.0,239,9.4,14.5,0.0,0.16,96.32,963,1000,42.47144340602284
birnen,Birnen,Pears,Birnen,fruits & berries,530,36.47,25.0,167,11.5,0.0,0.0,0.11,54.2,788,1455,67.25888324873097
blaubeeren,Blaubeeren,Blueberries,Blau&shy;beeren,fruits & berries,672,46.19,44.0,32,2.2,0.0,0.0,0.11,50.96,741,1455,90.68825910931174
brombeeren,Brombeeren,Blackberries,Brom&shy;beeren,fruits & berries,643,44.19,42.0,32,2.2,0.0,0.0,0.11,44.19,643,1455,100.0
datteln,Datteln,Dates,Datteln,fruits & berries,1349,177.0,163.0,107,9.0,5.01,0.0,0.21,139.49,1063,762,126.9049858889934
erdbeeren,Erdbeeren,Strawberries,Erdbeeren,fruits & berries,423,26.44,16.0,167,10.4,0.0,0.0,0.1,38.69,619,1600,68.33602584814217
feigen,Feigen,Figs,Feigen,fruits & berries,567,49.61,43.0,76,3.5,3.08,184.71,0.14,75.0,857,1143,66.1610268378063
grapefruit,Grapefruit,Grapefruit,Grapefruit,fruits & berries,552,31.06,16.5,259,6.8,7.72,0.0,0.09,30.11,535,1778,103.17757009345794
himbeeren,Himbeeren,Raspberries,Himbeeren,fruits & berries,589,44.19,42.0,29,2.2,0.0,0.0,0.12,51.35,685,1333,85.98540145985402
kirschen,Kirschen,Cherry,Kirschen,fruits & berries,669,58.5,46.0,143,12.5,0.0,0.0,0.14,75.0,857,1143,78.0630105017503
kiwi,Kiwi,Kiwi,Kiwi,fruits & berries,821,63.62,46.5,221,8.0,9.08,545.01,0.124,54.73,706,1290,116.28895184135978
limette,Limette,Lime,Limette,fruits & berries,897,56.06,20.3,572,30.4,5.38,0.0,0.1,41.0,656,1600,136.7378048780488
mandarinen,Mandarinen,Tangerines,Manda&shy;rinen,fruits & berries,579,47.04,30.0,210,16.7,0.38,0.0,0.13,31.05,382,1231,151.57068062827224
mango,Mango,Mango,Mango,fruits & berries,430,32.24,11.4,278,10.8,10.08,604.74,0.12,63.0,840,1333,51.19047619047619
maracuja,Maracuja,Passion fruit,Maracuja,fruits & berries,707,75.14,54.3,196,10.8,10.08,604.74,0.17,76.0,715,941,98.88111888111888
melonen,Melonen,Melon,Melonen,fruits & berries,415,28.5,15.0,196,12.3,1.17,70.13,0.11,30.38,442,1455,93.89140271493213
nektarinen,Nektarinen,Nectarine,Nektarinen,fruits & berries,422,29.0,16.5,182,12.5,0.0,0.0,0.11,51.15,744,1455,56.72043010752688
obst,Obst,Fruit,Obst,fruits & berries,323,22.19,20.0,32,2.2,0.0,0.0,0.11,49.0,713,1455,45.3015427769986
orangen,Orangen,Oranges,Orangen,fruits & berries,626,43.05,16.5,386,26.6,0.0,0.0,0.11,44.22,643,1455,97.35614307931571
pfirsich,Pfirsich,Peach,Pfirsich,fruits & berries,696,43.5,31.0,200,12.5,0.0,0.0,0.1,48.0,768,1600,90.625
pflaumen,Pflaumen,Plums,Pflaumen,fruits & berries,467,32.1,14.0,263,17.3,0.83,0.0,0.11,48.76,709,1455,65.86741889985896
quitten,Quitten,Quince,Quitten,fruits & berries,434,27.13,20.0,114,7.1,0.0,0.0,0.1,40.87,654,1600,66.36085626911316
rhabarber,Rhabarber,Rhubarb,Rhabarber,fruits & berries,499,21.19,15.0,146,6.1,0.06,3.59,0.068,12.19,287,2353,173.86759581881532
rosinen,Rosinen,Raisins,Rosinen,fruits & berries,415,106.39,93.0,52,10.9,2.45,0.0,0.41,300.95,1174,390,35.34923339011925
sternfrucht,Sternfrucht,Starfruit,Sternfrucht,fruits & berries,1197,67.34,46.5,370,10.8,10.08,604.74,0.09,25.0,444,1778,269.5945945945946
trauben,Trauben,Grapes,Trauben,fruits & berries,378,30.72,27.0,46,3.5,0.24,14.33,0.13,67.18,827,1231,45.70737605804111
wassermelone,Wassermelone,Watermelon,Wasser&shy;melone,fruits & berries,456,28.5,15.0,216,12.3,1.17,70.13,0.1,24.65,394,1600,115.73604060913704
zitronen,Zitronen,Lemons,Zitronen,fruits & berries,997,56.06,20.3,636,30.4,5.38,0.0,0.09,22.47,399,1778,249.874686716792
erbsen,Erbsen,Peas,Erbsen,legumes,118,55.37,51.0,9,4.4,0.0,0.0,0.75,315.0,672,213,17.55952380952381
gruene_bohnen,Grüne Bohnen,Green beans,Grüne Bohnen,legumes,235,102.73,66.0,84,27.7,9.0,0.0,0.7,252.0,576,229,40.79861111111112
kichererbsen,Kichererbsen,Chickpeas,Kicher&shy;erbsen,legumes,228,105.26,76.0,63,20.8,8.43,0.0,0.74,327.0,707,216,32.24893917963225
kidneybohnen,Kidneybohnen,Kidney beans,Kidney&shy;bohnen,legumes,219,102.73,66.0,78,27.7,9.0,0.0,0.75,295.0,629,213,34.81717011128776
linsen,Linsen,Lentils,Linsen,legumes,186,100.98,66.0,64,23.6,11.38,0.0,0.87,347.0,638,184,29.153605015673985
mungbohne,Mungbohne,Mung bean,Mungbohne,legumes,220,27.53,13.0,116,13.3,1.24,0.0,0.2,54.93,439,800,50.11389521640091
rote_linsen,Rote Linsen,Red lentils,Rote Linsen,legumes,180,100.98,66.0,62,23.6,11.38,0.0,0.9,360.0,640,178,28.125
schwarze_bohnen,Schwarze Bohnen,Black beans,Schwarze Bohnen,legumes,198,102.73,66.0,71,27.7,9.0,0.0,0.83,367.0,707,193,28.005657708628007
soja,Soja,Soy,Soja,legumes,145,112.53,98.0,19,13.3,1.24,0.0,1.24,384.54,496,129,29.233870967741936
weisse_bohnen,Weiße Bohnen,White beans,Weiße Bohnen,legumes,216,102.73,66.0,77,27.7,9.0,0.0,0.76,324.0,682,211,31.67155425219941
buendnerfleisch,Bündnerfleisch,Air-dried meat,Bündnerfleisch,meat,12404,7287.17,7285.0,4,2.2,0.0,0.0,0.94,192.03,327,170,3793.272171253823
ente,Ente,Duck,Ente,meat,673,391.33,383.0,14,8.3,0.0,0.0,0.93,388.0,668,172,100.74850299401196
fleisch,Fleisch,Meat,Fleisch,meat,2393,942.19,940.0,6,2.2,0.0,0.0,0.63,160.27,407,254,587.960687960688
fohlen,Fohlen,Foal,Fohlen,meat,3372,1117.05,1086.0,94,15.0,16.01,0.0,0.53,103.66,313,302,1077.3162939297124
raeucherschinken,Räucherschinken,Smoked ham,Räucherschinken,meat,2039,1147.19,1145.0,4,2.2,0.0,0.0,0.9,228.81,407,178,500.982800982801
huhn_(brust),Hühnerbrust,Chicken (breast),Hühnerbrust,meat,2069,711.33,700.0,33,7.3,4.08,0.0,0.55,106.05,309,291,669.5792880258899
hirsch,Hirsch,Deer meat,Hirsch,meat,3075,1095.37,1090.0,15,5.4,0.0,0.0,0.57,122.29,343,281,896.5014577259475
